date,speciesBestGuess,otherPossibleSpecies,otherSnakesSeen,size,chunkiness,color,timeOfDay,temperature,estimatedTemperature,weather,venom,family,cyclicActivity,mating,climbing,lumps,surface,attackedByBirds,watchingMe,departure,room,partialSighting,yelp,onCamera,seenBy
29 Apr 2021,Red-bellied black,unlikely,no,adult,thick,black and red,morning,unknown,~24,unknown,highly venomous,Elapidae,Diurnal,no mating,not climbing,no lumps,leaf litter,no,probably,quickly hid,elsewhere,full,no,no,Di
29 May 2021,Red-bellied black,unlikely,no,adult,thick,black and red,morning,unknown,~20,sunny,highly venomous,Elapidae,Diurnal,no mating,not climbing,no lumps,leaf litter,no,unknown,unknown,elsewhere,full,no,no,Di
17 Jun 2021,Keelback,"Rough-scaled snake,Coastal taipan",no,teen or adult,medium,grey,late afternoon,unknown,~20,"cloudy,spitting",non venomous,Colubridae,Crepuscular,no mating,not climbing,no lumps,leaf litter,no,unknown,unknown,elsewhere,full,no,no,Di
12 Jul 2021,Keelback,"Rough-scaled snake,Coastal taipan",no,teen or adult,medium,grey,late afternoon,20,,partly cloudy,non venomous,Colubridae,Crepuscular,no mating,not climbing,no lumps,leaf litter,no,unknown,unknown,elsewhere,full,no,no,Di
22 Jul 2021,Red-bellied black,unlikely,no,adult,unknown,black and red,early afternoon,unknown,18,sunny,highly venomous,Elapidae,Diurnal,no mating,not climbing,no lumps,grass,no,unknown,unknown,elsewhere,full,no,no,Wes
13 Aug 2021,Keelback,"Rough-scaled snake,Coastal taipan",no,adult,unknown,grey,dusk,unknown,20,clear,non venomous,Colubridae,Crepuscular,no mating,not climbing,no lumps,leaf litter,no,unknown,unknown,elsewhere,full,no,video,Di
29 Aug 2021,Yellow-faced whip snake,"Keelback,Rough-scaled snake",no,juvenile,skinny,dark brown/blonde,late morning,unknown,~26,cloudy,mildly venomous,Elapidae,Diurnal,no mating,not climbing,no lumps,unknown,no,unknown,unknown,elsewhere,full,no,no,Wes
02 Sep 2021,Yellow-faced whip snake,"Common tree snake,Coastal taipan,Eastern brown snake",no,adult,skinny,"yellow face/head,grey/brown body",early afternoon,23,,"cloudy,sunny",mildly venomous,Elapidae,Diurnal,no mating,not climbing,no lumps,footpath,no,unknown,rapidly crossing footpath into a garden,elsewhere,full,no,no,Di
26 Sep 2021,Red-bellied black,unlikely,no,teen,unknown,black and red,mid afternoon,unknown,21,cloudy,highly venomous,Elapidae,Diurnal,no mating,not climbing,no lumps,grass,no,unknown,unknown,elsewhere,full,no,no,Wes
01 Oct 2021,Keelback,"Rough-scaled snake,Coastal taipan",no,adult,medium,grey,late afternoon,unknown,24,cloudy,non venomous,Colubridae,Crepuscular,no mating,not climbing,no lumps,leaf litter,no,yes,chill,elsewhere,full,no,video,Di
06 Oct 2021,Verreaux's skink,other legless lizards,no,adult,skinny,"yellow to grey/green",early evening,unknown,18,clear,non venomous,Pygopodidae,unknown,no mating,not climbing,no lumps,leaf litter,no,unknown,rapid,elsewhere,full,no,video,Di and Wes
08 Oct 2021,Yellow-faced whip snake,unlikely,mating Yellow-faced whip snake,adult,skinny,"yellow face,pale olive body,bluish-grey",midday,27,,sunny,mildly venomous,Elapidae,Diurnal,mating,not climbing,no lumps,concrete pavement,no,oblivious,slowly meandered away after an hour of mating,front yard,full,no,video,Di and Wes
08 Oct 2021,Yellow-faced whip snake,unlikely,mating Yellow-faced whip snake,adult,skinny,"yellow face,pale olive body,red tint",midday,27,,sunny,mildly venomous,Elapidae,Diurnal,mating,not climbing,no lumps,concrete pavement,no,oblivious,slowly meandered away after an hour of mating,front yard,full,no,video,Di and Wes
